Doctor_ID,Operation_ID
2400,6000
2401,6001
2402,6002
2403,6003
2404,6004
2405,6005
2406,6006
2407,6007
2408,6008
2409,6009
2410,6010
2411,6011
2412,6012
2413,6013
2414,6014
2415,6015
2416,6016
2417,6017
2418,6018
2419,6019
2420,6020
2421,6021
2422,6022
2423,6023
2424,6024
2425,6025
2426,6026
2427,6027
2428,6028
2429,6029
2430,6030
2431,6031
2432,6032
2433,6033
2434,6034
2435,6035
2436,6036
2437,6037
2438,6038
2439,6039
2440,6040
2441,6041
2442,6042
2443,6043
2444,6044
2445,6045
2446,6046
2447,6047
2448,6048
2449,6049
2450,6050
2451,6051
2452,6052
2453,6053
2454,6054
2455,6055
2456,6056
2457,6057
2458,6058
2459,6059
2460,6060
2461,6061
2462,6062
2463,6063
2464,6064
2465,6065
2466,6066
2467,6067
2468,6068
2469,6069
2470,6070
2471,6071
2472,6072
2473,6073
2474,6074
2475,6075
2476,6076
2477,6077
2478,6078
2479,6079
2480,6080
2481,6081
2482,6082
2483,6083
2484,6084
2485,6085
2486,6086
2487,6087
2488,6088
2489,6089
2490,6090
2491,6091
2492,6092
2493,6093
2494,6094
2495,6095
2496,6096
2497,6097
2498,6098
2499,6099
2500,6100
2501,6101
2502,6102
2503,6103
2504,6104
2505,6105
2506,6106
2507,6107
2508,6108
2509,6109
2510,6110
2511,6111
2512,6112
2513,6113
2514,6114
2515,6115
2516,6116
2517,6117
2518,6118
2519,6119
2520,6120
2521,6121
2522,6122
2523,6123
2524,6124
2525,6125
2526,6126
2527,6127
2528,6128
2529,6129
2530,6130
2531,6131
2532,6132
2533,6133
2534,6134
2535,6135
2536,6136
2537,6137
2538,6138
2539,6139
2540,6140
2541,6141
2542,6142
2543,6143
2544,6144
2545,6145
2546,6146
2547,6147
2548,6148
2549,6149
2550,6150
2551,6151
2552,6152
2553,6153
2554,6154
2555,6155
2556,6156
2557,6157
2558,6158
2559,6159
2560,6160
2561,6161
2562,6162
2563,6163
2564,6164
2565,6165
2566,6166
2567,6167
2568,6168
2569,6169
2570,6170
2571,6171
2572,6172
2573,6173
2574,6174
2575,6175
2576,6176
2577,6177
2578,6178
2579,6179
2580,6180
2581,6181
2582,6182
2583,6183
2584,6184
2585,6185
2586,6186
2587,6187
2588,6188
2589,6189
2590,6190
2591,6191
2592,6192
2593,6193
2594,6194
2595,6195
2596,6196
2597,6197
2598,6198
2599,6199
2600,6200
2601,6201
2602,6202
2603,6203
2604,6204
2605,6205
2606,6206
2607,6207
2608,6208
2609,6209
2610,6210
2611,6211
2612,6212
2613,6213
2614,6214
2615,6215
2616,6216
2617,6217
2618,6218
2619,6219
2620,6220
2621,6221
2622,6222
2623,6223
2624,6224
2625,6225
2626,6226
2627,6227
2628,6228
2629,6229
2630,6230
2631,6231
2632,6232
2633,6233
2634,6234
2635,6235
2636,6236
2637,6237
2638,6238
2639,6239
2640,6240
2641,6241
2642,6242
2643,6243
2644,6244
2645,6245
2646,6246
2647,6247
2648,6248
2649,6249
2650,6250
2651,6251
2652,6252
2653,6253
2654,6254
2655,6255
2656,6256
2657,6257
2658,6258
2659,6259
2660,6260
2661,6261
2662,6262
2663,6263
2664,6264
2665,6265
2666,6266
2667,6267
2668,6268
2669,6269
2670,6270
2671,6271
2672,6272
2673,6273
2674,6274
2675,6275
2676,6276
2677,6277
2678,6278
2679,6279
2680,6280
2681,6281
2682,6282
2683,6283
2684,6284
2685,6285
2686,6286
2687,6287
2688,6288
2689,6289
2690,6290
2691,6291
2692,6292
2693,6293
2694,6294
2695,6295
2696,6296
2697,6297
2698,6298
2699,6299
2700,6300
2701,6301
2702,6302
2703,6303
2704,6304
2705,6305
2706,6306
2707,6307
2708,6308
2709,6309
2710,6310
2711,6311
2712,6312
2713,6313
2714,6314
2715,6315
2716,6316
2717,6317
2718,6318
2719,6319
2720,6320
2721,6321
2722,6322
2723,6323
2724,6324
2725,6325
2726,6326
2727,6327
2728,6328
2729,6329
2730,6330
2731,6331
2732,6332
2733,6333
2734,6334
2735,6335
2736,6336
2737,6337
2738,6338
2739,6339
2740,6340
2741,6341
2742,6342
2743,6343
2744,6344
2745,6345
2746,6346
2747,6347
2748,6348
2749,6349
2750,6350
2751,6351
2752,6352
2753,6353
2754,6354
2755,6355
2756,6356
2757,6357
2758,6358
2759,6359
2760,6360
2761,6361
2762,6362
2763,6363
2764,6364
2765,6365
2766,6366
2767,6367
2768,6368
2769,6369
2770,6370
2771,6371
2772,6372
2773,6373
2774,6374
2775,6375
2776,6376
2777,6377
2778,6378
2779,6379
2780,6380
2781,6381
2782,6382
2783,6383
2784,6384
2785,6385
2786,6386
2787,6387
2788,6388
2789,6389
2790,6390
2791,6391
2792,6392
2793,6393
2794,6394
2795,6395
2796,6396
2797,6397
2798,6398
2799,6399
